what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1748506652719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748506657381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748506658523
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1748506658713
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1748506659952
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1748506660272
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1748506663920
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748506733411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1748506739196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1748506739624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748506740665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748506872052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748506873910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748506878012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748506882514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507050226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507053301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507067025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507067089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507212114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507214501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507226530
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748507232199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507233453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507234696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507237838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507242681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1748507243483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1748507244160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507244644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507246423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1748507246437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1748507337701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1748507420160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507435879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507450229
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1748507451938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507454011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507454971
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1748507455965
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748507458234
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1748507462297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507473174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507526168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507533796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507771980
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748507772642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507774644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748507778912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1748507779706
